model,val_acc,method,seed,distance,ece,mce,ace,piece,Confbin,Knnbin,Proximity_bin,Conf_normalize
beit_large_patch16_384,0.8838,pts,2021,IVFFlat,0.007843688,0.002983339,0.007443027,0.017278561,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2021,IVFPQ,0.007843688,0.002983339,0.007443027,0.018302733,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2021,L2,0.007843688,0.002983339,0.007443027,0.017300133,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_kde,2021,cosine,0.007248702,0.003416008,0.007137691,0.014565116,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_kde,2021,IVFFlat,0.007476982,0.003324019,0.00684009,0.014938121,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_kde,2021,IVFPQ,0.006995716,0.002732438,0.008605191,0.015454795,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_kde,2021,L2,0.007089291,0.003312031,0.007096116,0.01524427,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2021,cosine,0.008136818,0.001720513,0.006665628,0.013564515,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2021,IVFFlat,0.006390239,0.001802716,0.006287281,0.014741319,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2021,IVFPQ,0.007422422,0.002570396,0.007250111,0.016721142,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2021,L2,0.006330396,0.001827478,0.006313267,0.014837083,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2021,cosine,0.009380339,0.003840614,0.007484669,0.015507199,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2021,IVFFlat,0.009507428,0.003747417,0.007796977,0.014866527,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2021,IVFPQ,0.008764221,0.003653923,0.008776308,0.014742047,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2021,L2,0.009362833,0.00374634,0.007672505,0.014954738,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2021,cosine,0.027721831,0.007392842,0.02984611,0.032910399,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2021,IVFFlat,0.027721831,0.007392842,0.02984611,0.033084879,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2021,IVFPQ,0.027721831,0.007392842,0.02984611,0.030061763,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2021,L2,0.027721831,0.007392842,0.02984611,0.033084283,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2021,cosine,0.011222661,0.006509328,0.010522361,0.017203459,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2021,IVFFlat,0.011641988,0.00635569,0.01059565,0.017617995,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2021,IVFPQ,0.013080956,0.006387909,0.012163415,0.019270552,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2021,L2,0.011757256,0.006318263,0.010533106,0.017674424,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2022,cosine,0.038253229,0.016779189,0.038041591,0.0453116,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2022,IVFFlat,0.038253229,0.016779189,0.038041591,0.04521276,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2022,IVFPQ,0.038253229,0.016779189,0.038041591,0.044967022,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2022,L2,0.038253229,0.016779189,0.038041591,0.045064882,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2022,cosine,0.008061427,0.003388835,0.00753561,0.015966242,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2022,IVFFlat,0.006853094,0.00332384,0.007378222,0.014433123,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2022,IVFPQ,0.008866014,0.003550058,0.008909109,0.017888308,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2022,L2,0.006724077,0.003223559,0.007164883,0.014423427,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2022,cosine,0.02233123,0.013092151,0.02239002,0.030032967,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2022,IVFFlat,0.02233123,0.013092151,0.02239002,0.030074724,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2022,IVFPQ,0.02233123,0.013092151,0.02239002,0.029364312,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2022,L2,0.02233123,0.013092151,0.02239002,0.030061247,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2022,cosine,0.010453312,0.004968705,0.008825249,0.018454699,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2022,IVFFlat,0.009071266,0.004753903,0.008884247,0.016456606,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2022,IVFPQ,0.011272634,0.00526467,0.011533797,0.019298897,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2022,L2,0.008953883,0.004679004,0.008794447,0.01658399,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2022,cosine,0.057496217,0.017959295,0.059895074,0.073194873,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2022,IVFFlat,0.057496217,0.017959295,0.059895074,0.073415387,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2022,IVFPQ,0.057496217,0.017959295,0.059895074,0.06593249,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2022,L2,0.057496217,0.017959295,0.059895074,0.073533987,15,10,5,FALSE
